boro_ct,N_trees,tree_diameter,N_dead,Pct_health,Pct_noproblems
1012900,266.0,6.984962406015038,20.0,0.706766917293233,0.38721804511278196
1013000,393.0,9.882951653944021,5.0,0.7811704834605598,0.5114503816793893
1013100,111.0,4.8108108108108105,6.0,0.40540540540540543,0.09009009009009009
1013200,297.0,9.218855218855218,5.0,0.7171717171717171,0.16498316498316498
1013300,252.0,9.623015873015873,4.0,0.7619047619047619,0.49603174603174605
1013400,342.0,10.140350877192983,8.0,0.7192982456140351,0.23976608187134502
1013500,368.0,7.5,14.0,0.6902173913043478,0.5489130434782609
1013600,445.0,9.725842696629213,10.0,0.7303370786516854,0.43820224719101125
1013700,113.0,5.592920353982301,10.0,0.5221238938053098,0.4336283185840708
1013800,324.0,9.42283950617284,9.0,0.6820987654320988,0.32098765432098764
1013900,276.0,7.532608695652174,6.0,0.6123188405797102,0.5108695652173914
1014000,397.0,9.523929471032746,7.0,0.7204030226700252,0.6045340050377834
1014200,411.0,9.440389294403893,7.0,0.8126520681265207,0.559610705596107
1014300,932.0,16.505364806866954,2.0,0.9495708154506438,0.4613733905579399
1014401,157.0,10.101910828025478,2.0,0.7834394904458599,0.47770700636942676
1014402,237.0,10.135021097046414,5.0,0.6497890295358649,0.3755274261603376
1014500,241.0,8.62655601659751,3.0,0.8215767634854771,0.6721991701244814
1014601,127.0,8.960629921259843,2.0,0.6377952755905512,0.3779527559055118
1014602,190.0,9.952631578947368,2.0,0.7052631578947368,0.48947368421052634
1014700,99.0,6.040404040404041,2.0,0.7171717171717171,0.797979797979798
1014801,88.0,8.829545454545455,4.0,0.6590909090909091,0.6363636363636364
1014802,248.0,8.350806451612904,6.0,0.625,0.6774193548387096
1014900,241.0,7.8838174273858925,0.0,0.7676348547717843,0.5518672199170125
1015001,131.0,9.083969465648854,1.0,0.7709923664122137,0.44274809160305345
1015002,301.0,8.830564784053156,4.0,0.760797342192691,0.7408637873754153
1015100,191.0,7.387434554973822,8.0,0.5497382198952879,0.6073298429319371
1015200,266.0,9.101503759398497,8.0,0.7781954887218046,0.5714285714285714
1015300,467.0,9.291220556745182,5.0,0.8650963597430407,0.3961456102783726
1015400,305.0,10.504918032786886,5.0,0.8295081967213115,0.3737704918032787
1015500,187.0,5.529411764705882,6.0,0.6844919786096256,0.8823529411764706
1015601,82.0,8.707317073170731,4.0,0.3170731707317073,0.2804878048780488
1015602,62.0,11.370967741935484,3.0,0.6774193548387096,0.45161290322580644
1015700,321.0,8.74766355140187,7.0,0.7632398753894081,0.6043613707165109
1015801,271.0,9.59409594095941,10.0,0.7527675276752768,0.6420664206642066
1015802,82.0,7.365853658536586,5.0,0.6829268292682927,0.573170731707317
1015900,275.0,8.385454545454545,5.0,0.8109090909090909,0.7563636363636363
1016001,358.0,10.139664804469273,3.0,0.7905027932960894,0.8491620111731844
1016002,125.0,7.872,2.0,0.808,0.84
1016100,285.0,11.371929824561404,8.0,0.8070175438596491,0.7684210526315789
1016200,182.0,9.653846153846153,3.0,0.5824175824175825,0.5604395604395604
1016300,350.0,9.0,6.0,0.8685714285714285,0.6457142857142857
1016400,208.0,8.451923076923077,5.0,0.6586538461538461,0.8701923076923077
1016500,374.0,10.893048128342246,1.0,0.8342245989304813,0.8449197860962567
1016600,245.0,6.3795918367346935,20.0,0.6530612244897959,0.2857142857142857
1016700,349.0,9.35243553008596,9.0,0.8051575931232091,0.8538681948424068
1016800,217.0,7.096774193548387,8.0,0.6267281105990783,0.5207373271889401
1016900,344.0,9.023255813953488,7.0,0.8226744186046512,0.9011627906976745
1017000,169.0,7.597633136094674,10.0,0.650887573964497,0.40236686390532544
1017100,412.0,9.798543689320388,7.0,0.808252427184466,0.8179611650485437
1017200,200.0,7.06,3.0,0.765,0.245
1017300,398.0,11.442211055276381,2.0,0.8944723618090452,0.7989949748743719
1017401,163.0,9.94478527607362,2.0,0.8773006134969326,0.44171779141104295
1017402,97.0,9.608247422680412,7.0,0.7938144329896907,0.16494845360824742
1017500,424.0,10.096698113207546,3.0,0.8797169811320755,0.8584905660377359
1017700,391.0,10.62915601023018,1.0,0.8158567774936062,0.6751918158567775
1017800,283.0,8.098939929328623,5.0,0.7879858657243817,0.7773851590106007
1017900,380.0,10.736842105263158,3.0,0.8421052631578947,0.7236842105263158
1018000,190.0,7.38421052631579,7.0,0.8052631578947368,0.43157894736842106
1018100,282.0,11.124113475177305,5.0,0.7588652482269503,0.6453900709219859
1018200,190.0,7.3578947368421055,11.0,0.7473684210526316,0.47368421052631576
1018300,308.0,9.237012987012987,5.0,0.8051948051948052,0.8181818181818182
1018400,251.0,7.039840637450199,2.0,0.7569721115537849,0.35856573705179284
1018500,100.0,9.07,2.0,0.81,0.6
1018600,137.0,10.233576642335766,2.0,0.7153284671532847,0.5474452554744526
1018700,403.0,10.754342431761787,7.0,0.8362282878411911,0.7866004962779156
1018800,224.0,8.816964285714286,7.0,0.65625,0.5535714285714286
1018900,391.0,8.608695652173912,12.0,0.7519181585677749,0.6061381074168798
1019000,185.0,10.043243243243243,13.0,0.6594594594594595,0.5675675675675675
1019100,425.0,10.343529411764706,6.0,0.8258823529411765,0.8588235294117647
1019200,78.0,9.948717948717949,6.0,0.8717948717948718,0.6666666666666666
1019300,331.0,8.332326283987916,6.0,0.8126888217522659,0.6042296072507553
1019400,226.0,10.269911504424778,3.0,0.7699115044247787,0.584070796460177
1019500,463.0,10.084233261339094,6.0,0.8358531317494601,0.6976241900647948
1019600,214.0,7.0607476635514015,37.0,0.7850467289719626,0.6214953271028038
1019701,225.0,17.653333333333332,3.0,0.8577777777777778,0.8311111111111111
1019702,76.0,7.342105263157895,2.0,0.631578947368421,0.5921052631578947
1019800,339.0,8.920353982300885,5.0,0.8495575221238938,0.6430678466076696
1019900,410.0,9.551219512195122,10.0,0.675609756097561,0.8219512195121951
1020000,237.0,8.51054852320675,2.0,0.759493670886076,0.6286919831223629
1020101,86.0,7.616279069767442,1.0,0.7325581395348837,0.4883720930232558
1020102,172.0,9.046511627906977,3.0,0.7790697674418605,0.46511627906976744
1020300,139.0,8.381294964028777,9.0,0.7266187050359713,0.7913669064748201
1020500,415.0,11.831325301204819,8.0,0.7421686746987952,0.7566265060240964
