census_tract,N_trees,tree_diameter,N_dead,Pct_health,Pct_noproblems
1441,680.0,13.369117647058824,9.0,0.7338235294117647,0.5691176470588235
1447,640.0,14.5046875,8.0,0.8296875,0.521875
1459,536.0,15.080223880597014,9.0,0.9291044776119403,0.6436567164179104
1463,492.0,15.020325203252032,4.0,0.8130081300813008,0.6788617886178862
1467,534.0,14.282771535580524,3.0,0.7621722846441947,0.5655430711610487
1471,627.0,12.813397129186603,8.0,0.8421052631578947,0.5725677830940988
1479,959.0,12.303441084462982,12.0,0.7643378519290928,0.656934306569343
1483,1343.0,13.749069247952345,18.0,0.7081161578555473,0.691734921816828
1501,142.0,7.359154929577465,0.0,0.7183098591549296,0.9577464788732394
1502,461.0,13.177874186550977,2.0,0.8503253796095445,0.8481561822125814
1522,454.0,13.85022026431718,7.0,0.8524229074889867,0.7092511013215859
1567,220.0,7.486363636363636,21.0,0.6454545454545455,0.9727272727272728
1617,1032.0,14.52422480620155,10.0,0.8081395348837209,0.5455426356589147
1621,1405.0,15.826334519572955,13.0,0.703914590747331,0.5693950177935944
2001,328.0,10.210365853658537,2.0,0.8140243902439024,0.8140243902439024
2002,477.0,13.672955974842766,8.0,0.8448637316561844,0.7819706498951782
2201,105.0,7.933333333333334,7.0,0.7714285714285715,0.7428571428571429
2202,107.0,8.186915887850468,2.0,0.8691588785046729,0.8317757009345794
2601,195.0,9.184615384615384,8.0,0.7743589743589744,0.7948717948717948
2602,267.0,7.606741573033708,1.0,0.7528089887640449,0.7153558052434457
2701,61.0,5.475409836065574,2.0,0.6557377049180327,0.45901639344262296
2702,156.0,7.102564102564102,8.0,0.8461538461538461,0.6153846153846154
2901,42.0,12.380952380952381,8.0,0.6190476190476191,0.8095238095238095
3001,220.0,7.531818181818182,9.0,0.7636363636363637,0.7090909090909091
3002,90.0,8.911111111111111,6.0,0.6222222222222222,0.5777777777777777
3601,157.0,10.299363057324841,3.0,0.8343949044585988,0.7006369426751592
3602,155.0,8.703225806451613,4.0,0.8193548387096774,0.6903225806451613
4001,391.0,12.618925831202047,10.0,0.9181585677749361,0.7442455242966752
4002,109.0,14.825688073394495,5.0,0.7064220183486238,0.29357798165137616
4401,391.0,13.851662404092071,10.0,0.8465473145780051,0.5933503836317136
5001,169.0,8.846153846153847,2.0,0.8402366863905325,0.7041420118343196
5002,193.0,6.300518134715026,3.0,0.917098445595855,0.7253886010362695
5201,124.0,14.85483870967742,2.0,0.8387096774193549,0.5483870967741935
5202,123.0,15.113821138211382,1.0,0.9105691056910569,0.44715447154471544
5501,60.0,8.866666666666667,4.0,0.7166666666666667,0.6333333333333333
5502,114.0,9.31578947368421,1.0,0.7192982456140351,0.2982456140350877
5601,146.0,13.513698630136986,7.0,0.8835616438356164,0.6027397260273972
5602,121.0,14.983471074380166,6.0,0.8512396694214877,0.6859504132231405
5902,123.0,9.292682926829269,6.0,0.7560975609756098,0.5365853658536586
6201,360.0,19.288888888888888,0.0,0.975,0.9444444444444444
6202,571.0,15.297723292469351,10.0,0.8791593695271454,0.8809106830122592
6501,136.0,10.536764705882353,1.0,0.8823529411764706,0.38235294117647056
6502,251.0,10.573705179282868,4.0,0.8565737051792829,0.3705179282868526
8601,67.0,10.029850746268657,1.0,0.6268656716417911,0.1044776119402985
8602,10.0,8.5,0.0,1.0,0.6
8603,188.0,9.824468085106384,3.0,0.8829787234042553,0.6702127659574468
9601,907.0,15.363836824696802,8.0,0.8379272326350606,0.75303197353914
9602,763.0,13.44429882044561,5.0,0.9541284403669725,0.9423328964613368
10601,268.0,8.104477611940299,7.0,0.7164179104477612,0.5
10602,150.0,7.8133333333333335,11.0,0.6066666666666667,0.20666666666666667
10701,76.0,8.81578947368421,0.0,0.8552631578947368,0.7236842105263158
11201,1251.0,8.990407673860911,42.0,0.7633892885691447,0.8449240607513989
11202,1171.0,10.22801024765158,28.0,0.7916310845431256,0.7882152006831767
11203,68.0,6.132352941176471,0.0,0.7647058823529411,0.39705882352941174
11401,632.0,11.86867088607595,6.0,0.8639240506329114,0.7816455696202531
11402,666.0,12.13963963963964,17.0,0.7297297297297297,0.47897897897897895
11502,343.0,6.221574344023324,32.0,0.8862973760932945,0.7755102040816326
12101,175.0,7.091428571428572,0.0,0.9428571428571428,0.6914285714285714
12102,67.0,8.985074626865671,2.0,0.9850746268656716,0.8208955223880597
12301,758.0,10.287598944591029,14.0,0.8298153034300791,0.3324538258575198
12601,130.0,17.384615384615383,3.0,0.7923076923076923,0.4846153846153846
12602,166.0,18.096385542168676,0.0,0.9036144578313253,0.6024096385542169
12701,168.0,9.464285714285714,3.0,0.8452380952380952,0.8511904761904762
12801,146.0,18.445205479452056,3.0,0.9178082191780822,0.3767123287671233
12804,712.0,11.271067415730338,11.0,0.7640449438202247,0.5898876404494382
12805,547.0,10.03473491773309,26.0,0.7330895795246801,0.793418647166362
12806,977.0,13.111566018423746,25.0,0.8638689866939611,0.8096212896622313
12901,409.0,8.78239608801956,15.0,0.7872860635696821,0.6405867970660146
12902,177.0,13.225988700564972,2.0,0.7457627118644068,0.4350282485875706
13201,532.0,13.56766917293233,6.0,0.8139097744360902,0.7875939849624061
13203,1257.0,11.182179793158314,13.0,0.841686555290374,0.8496420047732697
13204,1432.0,12.601256983240223,20.0,0.7939944134078212,0.7360335195530726
13301,19.0,9.68421052631579,0.0,0.8947368421052632,0.8421052631578947
13302,290.0,9.320689655172414,22.0,0.803448275862069,0.803448275862069
14201,284.0,11.496478873239436,3.0,0.8767605633802817,0.5387323943661971
14202,262.0,12.01908396946565,22.0,0.8664122137404581,0.41603053435114506
14401,155.0,10.219354838709677,2.0,0.7806451612903226,0.4838709677419355
14402,243.0,10.222222222222221,5.0,0.6378600823045267,0.35390946502057613
14601,128.0,8.953125,1.0,0.6484375,0.375
14602,188.0,9.930851063829786,2.0,0.7021276595744681,0.48404255319148937
14604,1673.0,10.365212193664076,44.0,0.752540346682606,0.7686790197250448
14605,1316.0,10.900455927051672,31.0,0.7515197568389058,0.837386018237082
14606,1166.0,10.350771869639795,50.0,0.758147512864494,0.8164665523156089
14607,1115.0,10.87713004484305,21.0,0.7004484304932735,0.7847533632286996
14608,802.0,11.381546134663342,12.0,0.5947630922693267,0.8129675810473815
14701,60.0,7.7,4.0,0.85,0.6166666666666667
